+1	U+1F44D
burkina_faso	U+1F1E7 U+1F1EB
burrito	U+1F32F
burundi	U+1F1E7 U+1F1EE
bus	U+1F68C
business_suit_levitating	U+1F574
busstop	U+1F68F
bust_in_silhouette	U+1F464
busts_in_silhouette	U+1F465
butter	U+1F9C8
butterfly	U+1F98B
cactus	U+1F335
cake	U+1F370
calendar	U+1F4C6
call_me_hand	U+1F919
calling	U+1F4F2
cambodia	U+1F1F0 U+1F1ED
camel	U+1F42B
camera	U+1F4F7
camera_flash	U+1F4F8
cameroon	U+1F1E8 U+1F1F2
camping	U+1F3D5
canada	U+1F1E8 U+1F1E6
canary_islands	U+1F1EE U+1F1E8
cancer	U+264B
candle	U+1F56F
candy	U+1F36C
canned_food	U+1F96B
canoe	U+1F6F6
cape_verde	U+1F1E8 U+1F1FB
capital_abcd	U+1F520
capricorn	U+2651
car	U+1F697
card_file_box	U+1F5C3
card_index	U+1F4C7
card_index_dividers	U+1F5C2
caribbean_netherlands	U+1F1E7 U+1F1F6
carousel_horse	U+1F3A0
carpentry_saw	U+1FA9A
carrot	U+1F955
cartwheeling	U+1F938
cat	U+1F431
cat2	U+1F408
cayman_islands	U+1F1F0 U+1F1FE
cd	U+1F4BF
central_african_republic	U+1F1E8 U+1F1EB
ceuta_melilla	U+1F1EA U+1F1E6
chad	U+1F1F9 U+1F1E9
chains	U+26D3
chair	U+1FA91
champagne	U+1F37E
chart	U+1F4B9
chart_with_downwards_trend	U+1F4C9
chart_with_upwards_trend	U+1F4C8
checkered_flag	U+1F3C1
cheese	U+1F9C0
cherries	U+1F352
cherry_blossom	U+1F338
chess_pawn	U+265F
chestnut	U+1F330
chicken	U+1F414
child	U+1F9D2
children_crossing	U+1F6B8
chile	U+1F1E8 U+1F1F1
chipmunk	U+1F43F
chocolate_bar	U+1F36B
chopsticks	U+1F962
christmas_island	U+1F1E8 U+1F1FD
christmas_tree	U+1F384
church	U+26EA
cinema	U+1F3A6
circus_tent	U+1F3AA
city_sunrise	U+1F307
city_sunset	U+1F306
cityscape	U+1F3D9
cl	U+1F191
clamp	U+1F5DC
clap	U+1F44F
clapper	U+1F3AC
classical_building	U+1F3DB
climbing	U+1F9D7
climbing_man	U+1F9D7 U+2642
climbing_woman	U+1F9D7 U+2640
clinking_glasses	U+1F942
clipboard	U+1F4CB
clipperton_island	U+1F1E8 U+1F1F5
clock1	U+1F550
clock10	U+1F559
clock1030	U+1F565
clock11	U+1F55A
clock1130	U+1F566
clock12	U+1F55B
clock1230	U+1F567
clock130	U+1F55C
clock2	U+1F551
clock230	U+1F55D
clock3	U+1F552
clock330	U+1F55E
clock4	U+1F553
clock430	U+1F55F
clock5	U+1F554
clock530	U+1F560
clock6	U+1F555
clock630	U+1F561
clock7	U+1F556
clock730	U+1F562
clock8	U+1F557
clock830	U+1F563
clock9	U+1F558
clock930	U+1F564
closed_book	U+1F4D5
closed_lock_with_key	U+1F510
closed_umbrella	U+1F302
cloud	U+2601
cloud_with_lightning	U+1F329
cloud_with_lightning_and_rain	U+26C8
cloud_with_rain	U+1F327
cloud_with_snow	U+1F328
clown_face	U+1F921
clubs	U+2663
cn	U+1F1E8 U+1F1F3
coat	U+1F9E5
cockroach	U+1FAB3
cocktail	U+1F378
coconut	U+1F965
cocos_islands	U+1F1E8 U+1F1E8
coffee	U+2615
coffin	U+26B0
coin	U+1FA99
cold_face	U+1F976
cold_sweat	U+1F630
collision	U+1F4A5
colombia	U+1F1E8 U+1F1F4
comet	U+2604
comoros	U+1F1F0 U+1F1F2
compass	U+1F9ED
computer	U+1F4BB
computer_mouse	U+1F5B1
confetti_ball	U+1F38A
confounded	U+1F616
confused	U+1F615
congo_brazzaville	U+1F1E8 U+1F1EC
congo_kinshasa	U+1F1E8 U+1F1E9
congratulations	U+3297
construction	U+1F6A7
construction_worker	U+1F477
construction_worker_man	U+1F477 U+2642
construction_worker_woman	U+1F477 U+2640
control_knobs	U+1F39B
convenience_store	U+1F3EA
cook	U+1F9D1 U+1F373
cook_islands	U+1F1E8 U+1F1F0
cookie	U+1F36A
cool	U+1F192
cop	U+1F46E
copyright	U+00A9
corn	U+1F33D
costa_rica	U+1F1E8 U+1F1F7
cote_divoire	U+1F1E8 U+1F1EE
couch_and_lamp	U+1F6CB
couple	U+1F46B
couple_with_heart	U+1F491
couple_with_heart_man_man	U+1F468 U+2764 U+1F468
couple_with_heart_woman_man	U+1F469 U+2764 U+1F468
couple_with_heart_woman_woman	U+1F469 U+2764 U+1F469
couplekiss	U+1F48F
couplekiss_man_man	U+1F468 U+2764 U+1F48B U+1F468
couplekiss_man_woman	U+1F469 U+2764 U+1F48B U+1F468
couplekiss_woman_woman	U+1F469 U+2764 U+1F48B U+1F469
cow	U+1F42E
cow2	U+1F404
cowboy_hat_face	U+1F920
crab	U+1F980
crayon	U+1F58D
credit_card	U+1F4B3
crescent_moon	U+1F319
cricket	U+1F997
cricket_game	U+1F3CF
croatia	U+1F1ED U+1F1F7
crocodile	U+1F40A
croissant	U+1F950
crossed_fingers	U+1F91E
crossed_flags	U+1F38C
crossed_swords	U+2694
crown	U+1F451
cry	U+1F622
crying_cat_face	U+1F63F
crystal_ball	U+1F52E
cuba	U+1F1E8 U+1F1FA
cucumber	U+1F952
cup_with_straw	U+1F964
cupcake	U+1F9C1
cupid	U+1F498
curacao	U+1F1E8 U+1F1FC
curling_stone	U+1F94C
curly_haired_man	U+1F468 U+1F9B1
curly_haired_woman	U+1F469 U+1F9B1
curly_loop	U+27B0
currency_exchange	U+1F4B1
curry	U+1F35B
cursing_face	U+1F92C
custard	U+1F36E
customs	U+1F6C3
cut_of_meat	U+1F969
cyclone	U+1F300
cyprus	U+1F1E8 U+1F1FE
czech_republic	U+1F1E8 U+1F1FF
dagger	U+1F5E1
dancer	U+1F483
dancers	U+1F46F
dancing_men	U+1F46F U+2642
dancing_women	U+1F46F U+2640
dango	U+1F361
dark_sunglasses	U+1F576
dart	U+1F3AF
dash	U+1F4A8
date	U+1F4C5
de	U+1F1E9 U+1F1EA
deaf_man	U+1F9CF U+2642
deaf_person	U+1F9CF
deaf_woman	U+1F9CF U+2640
deciduous_tree	U+1F333
deer	U+1F98C
denmark	U+1F1E9 U+1F1F0
department_store	U+1F3EC
derelict_house	U+1F3DA
desert	U+1F3DC
desert_island	U+1F3DD
desktop_computer	U+1F5A5
detective	U+1F575
diamond_shape_with_a_dot_inside	U+1F4A0
diamonds	U+2666
diego_garcia	U+1F1E9 U+1F1EC
disappointed	U+1F61E
disappointed_relieved	U+1F625
disguised_face	U+1F978
diving_mask	U+1F93F
diya_lamp	U+1FA94
dizzy	U+1F4AB
dizzy_face	U+1F635
djibouti	U+1F1E9 U+1F1EF
dna	U+1F9EC
do_not_litter	U+1F6AF
dodo	U+1F9A4
dog	U+1F436
dog2	U+1F415
dollar	U+1F4B5
dolls	U+1F38E
dolphin	U+1F42C
dominica	U+1F1E9 U+1F1F2
dominican_republic	U+1F1E9 U+1F1F4
door	U+1F6AA
doughnut	U+1F369
dove	U+1F54A
dragon	U+1F409
dragon_face	U+1F432
dress	U+1F457
dromedary_camel	U+1F42A
drooling_face	U+1F924
drop_of_blood	U+1FA78
droplet	U+1F4A7
drum	U+1F941
duck	U+1F986
dumpling	U+1F95F
dvd	U+1F4C0
e-mail	U+1F4E7
eagle	U+1F985
ear	U+1F442
ear_of_rice	U+1F33E
ear_with_hearing_aid	U+1F9BB
earth_africa	U+1F30D
earth_americas	U+1F30E
earth_asia	U+1F30F
ecuador	U+1F1EA U+1F1E8
egg	U+1F95A
eggplant	U+1F346
egypt	U+1F1EA U+1F1EC
eight	U+0038 U+20E3
eight_pointed_black_star	U+2734
eight_spoked_asterisk	U+2733
eject_button	U+23CF
el_salvador	U+1F1F8 U+1F1FB
electric_plug	U+1F50C
elephant	U+1F418
elevator	U+1F6D7
elf	U+1F9DD
elf_man	U+1F9DD U+2642
elf_woman	U+1F9DD U+2640
email	U+1F4E7
end	U+1F51A
england	U+1F3F4 U+E0067 U+E0062 U+E0065 U+E006E U+E0067 U+E007F
envelope	U+2709
envelope_with_arrow	U+1F4E9
equatorial_guinea	U+1F1EC U+1F1F6
eritrea	U+1F1EA U+1F1F7
es	U+1F1EA U+1F1F8
estonia	U+1F1EA U+1F1EA
ethiopia	U+1F1EA U+1F1F9
eu	U+1F1EA U+1F1FA
euro	U+1F4B6
european_castle	U+1F3F0
european_post_office	U+1F3E4
european_union	U+1F1EA U+1F1FA
evergreen_tree	U+1F332
exclamation	U+2757
exploding_head	U+1F92F
expressionless	U+1F611
eye	U+1F441
eye_speech_bubble	U+1F441 U+1F5E8
eyeglasses	U+1F453
eyes	U+1F440
face_exhaling	U+1F62E U+1F4A8
face_in_clouds	U+1F636 U+1F32B
face_with_head_bandage	U+1F915
face_with_spiral_eyes	U+1F635 U+1F4AB
face_with_thermometer	U+1F912
facepalm	U+1F926
facepunch	U+1F44A
factory	U+1F3ED
factory_worker	U+1F9D1 U+1F3ED
fairy	U+1F9DA
fairy_man	U+1F9DA U+2642
fairy_woman	U+1F9DA U+2640
falafel	U+1F9C6
falkland_islands	U+1F1EB U+1F1F0
fallen_leaf	U+1F342
family	U+1F46A
family_man_boy	U+1F468 U+1F466
family_man_boy_boy	U+1F468 U+1F466 U+1F466
family_man_girl	U+1F468 U+1F467
family_man_girl_boy	U+1F468 U+1F467 U+1F466
family_man_girl_girl	U+1F468 U+1F467 U+1F467
family_man_man_boy	U+1F468 U+1F468 U+1F466
family_man_man_boy_boy	U+1F468 U+1F468 U+1F466 U+1F466
family_man_man_girl	U+1F468 U+1F468 U+1F467
family_man_man_girl_boy	U+1F468 U+1F468 U+1F467 U+1F466
family_man_man_girl_girl	U+1F468 U+1F468 U+1F467 U+1F467
family_man_woman_boy	U+1F468 U+1F469 U+1F466
family_man_woman_boy_boy	U+1F468 U+1F469 U+1F466 U+1F466
family_man_woman_girl	U+1F468 U+1F469 U+1F467
family_man_woman_girl_boy	U+1F468 U+1F469 U+1F467 U+1F466
family_man_woman_girl_girl	U+1F468 U+1F469 U+1F467 U+1F467
family_woman_boy	U+1F469 U+1F466
family_woman_boy_boy	U+1F469 U+1F466 U+1F466
family_woman_girl	U+1F469 U+1F467
family_woman_girl_boy	U+1F469 U+1F467 U+1F466
family_woman_girl_girl	U+1F469 U+1F467 U+1F467
family_woman_woman_boy	U+1F469 U+1F469 U+1F466
family_woman_woman_boy_boy	U+1F469 U+1F469 U+1F466 U+1F466
family_woman_woman_girl	U+1F469 U+1F469 U+1F467
family_woman_woman_girl_boy	U+1F469 U+1F469 U+1F467 U+1F466
family_woman_woman_girl_girl	U+1F469 U+1F469 U+1F467 U+1F467
farmer	U+1F9D1 U+1F33E
faroe_islands	U+1F1EB U+1F1F4
fast_forward	U+23E9
fax	U+1F4E0
fearful	U+1F628
feather	U+1FAB6
feet	U+1F43E
female_detective	U+1F575 U+2640
female_sign	U+2640
ferris_wheel	U+1F3A1
ferry	U+26F4
field_hockey	U+1F3D1
fiji	U+1F1EB U+1F1EF
file_cabinet	U+1F5C4
file_folder	U+1F4C1
film_projector	U+1F4FD
film_strip	U+1F39E
finland	U+1F1EB U+1F1EE
fire	U+1F525
fire_engine	U+1F692
fire_extinguisher	U+1F9EF
firecracker	U+1F9E8
firefighter	U+1F9D1 U+1F692
fireworks	U+1F386
first_quarter_moon	U+1F313
first_quarter_moon_with_face	U+1F31B
fish	U+1F41F
fish_cake	U+1F365
fishing_pole_and_fish	U+1F3A3
fist	U+270A
fist_left	U+1F91B
fist_oncoming	U+1F44A
fist_raised	U+270A
fist_right	U+1F91C
five	U+0035 U+20E3
flags	U+1F38F
flamingo	U+1F9A9
flashlight	U+1F526
flat_shoe	U+1F97F
flatbread	U+1FAD3
fleur_de_lis	U+269C
flight_arrival	U+1F6EC
flight_departure	U+1F6EB
flipper	U+1F42C
floppy_disk	U+1F4BE
flower_playing_cards	U+1F3B4
flushed	U+1F633
fly	U+1FAB0
flying_disc	U+1F94F
flying_saucer	U+1F6F8
fog	U+1F32B
foggy	U+1F301
fondue	U+1FAD5
foot	U+1F9B6
football	U+1F3C8
footprints	U+1F463
fork_and_knife	U+1F374
fortune_cookie	U+1F960
fountain	U+26F2
fountain_pen	U+1F58B
four	U+0034 U+20E3
four_leaf_clover	U+1F340
fox_face	U+1F98A
fr	U+1F1EB U+1F1F7
framed_picture	U+1F5BC
free	U+1F193
french_guiana	U+1F1EC U+1F1EB
french_polynesia	U+1F1F5 U+1F1EB
french_southern_territories	U+1F1F9 U+1F1EB
fried_egg	U+1F373
fried_shrimp	U+1F364
fries	U+1F35F
frog	U+1F438
frowning	U+1F626
frowning_face	U+2639
frowning_man	U+1F64D U+2642
frowning_person	U+1F64D
frowning_woman	U+1F64D U+2640
fu	U+1F595
fuelpump	U+26FD
full_moon	U+1F315
full_moon_with_face	U+1F31D
funeral_urn	U+26B1
gabon	U+1F1EC U+1F1E6
gambia	U+1F1EC U+1F1F2
game_die	U+1F3B2
garlic	U+1F9C4
gb	U+1F1EC U+1F1E7
gear	U+2699
gem	U+1F48E
gemini	U+264A
genie	U+1F9DE
genie_man	U+1F9DE U+2642
genie_woman	U+1F9DE U+2640
georgia	U+1F1EC U+1F1EA
ghana	U+1F1EC U+1F1ED
ghost	U+1F47B
gibraltar	U+1F1EC U+1F1EE
gift	U+1F381
gift_heart	U+1F49D
giraffe	U+1F992
girl	U+1F467
globe_with_meridians	U+1F310
gloves	U+1F9E4
goal_net	U+1F945
goat	U+1F410
goggles	U+1F97D
golf	U+26F3
golfing	U+1F3CC
golfing_man	U+1F3CC U+2642
golfing_woman	U+1F3CC U+2640
gorilla	U+1F98D
grapes	U+1F347
greece	U+1F1EC U+1F1F7
green_apple	U+1F34F
green_book	U+1F4D7
green_circle	U+1F7E2
green_heart	U+1F49A
green_salad	U+1F957
green_square	U+1F7E9
greenland	U+1F1EC U+1F1F1
grenada	U+1F1EC U+1F1E9
grey_exclamation	U+2755
grey_question	U+2754
grimacing	U+1F62C
grin	U+1F601
grinning	U+1F600
guadeloupe	U+1F1EC U+1F1F5
guam	U+1F1EC U+1F1FA
guard	U+1F482
guardsman	U+1F482 U+2642
guardswoman	U+1F482 U+2640
guatemala	U+1F1EC U+1F1F9
guernsey	U+1F1EC U+1F1EC
guide_dog	U+1F9AE
guinea	U+1F1EC U+1F1F3
guinea_bissau	U+1F1EC U+1F1FC
guitar	U+1F3B8
gun	U+1F52B
guyana	U+1F1EC U+1F1FE
haircut	U+1F487
haircut_man	U+1F487 U+2642
haircut_woman	U+1F487 U+2640
haiti	U+1F1ED U+1F1F9
hamburger	U+1F354
hammer	U+1F528
hammer_and_pick	U+2692
hammer_and_wrench	U+1F6E0
hamster	U+1F439
hand	U+270B
hand_over_mouth	U+1F92D
handbag	U+1F45C
handball_person	U+1F93E
handshake	U+1F91D
hankey	U+1F4A9
hash	U+0023 U+20E3
hatched_chick	U+1F425
hatching_chick	U+1F423
headphones	U+1F3A7
headstone	U+1FAA6
health_worker	U+1F9D1 U+2695
hear_no_evil	U+1F649
heard_mcdonald_islands	U+1F1ED U+1F1F2
heart	U+2764
heart_decoration	U+1F49F
heart_eyes	U+1F60D
heart_eyes_cat	U+1F63B
heart_on_fire	U+2764 U+1F525
heartbeat	U+1F493
heartpulse	U+1F497
hearts	U+2665
heavy_check_mark	U+2714
heavy_division_sign	U+2797
heavy_dollar_sign	U+1F4B2
heavy_exclamation_mark	U+2757
heavy_heart_exclamation	U+2763
heavy_minus_sign	U+2796
heavy_multiplication_x	U+2716
heavy_plus_sign	U+2795
hedgehog	U+1F994
helicopter	U+1F681
herb	U+1F33F
hibiscus	U+1F33A
high_brightness	U+1F506
high_heel	U+1F460
hiking_boot	U+1F97E
hindu_temple	U+1F6D5
hippopotamus	U+1F99B
hocho	U+1F52A
hole	U+1F573
honduras	U+1F1ED U+1F1F3
honey_pot	U+1F36F
honeybee	U+1F41D
hong_kong	U+1F1ED U+1F1F0
hook	U+1FA9D
horse	U+1F434
horse_racing	U+1F3C7
hospital	U+1F3E5
hot_face	U+1F975
hot_pepper	U+1F336
hotdog	U+1F32D
hotel	U+1F3E8
hotsprings	U+2668
hourglass	U+231B
hourglass_flowing_sand	U+23F3
house	U+1F3E0
house_with_garden	U+1F3E1
houses	U+1F3D8
hugs	U+1F917
hungary	U+1F1ED U+1F1FA
hushed	U+1F62F
hut	U+1F6D6
ice_cream	U+1F368
ice_cube	U+1F9CA
ice_hockey	U+1F3D2
ice_skate	U+26F8
icecream	U+1F366
iceland	U+1F1EE U+1F1F8
id	U+1F194
ideograph_advantage	U+1F250
imp	U+1F47F
inbox_tray	U+1F4E5
incoming_envelope	U+1F4E8
india	U+1F1EE U+1F1F3
indonesia	U+1F1EE U+1F1E9
infinity	U+267E
information_desk_person	U+1F481
information_source	U+2139
innocent	U+1F607
interrobang	U+2049
iphone	U+1F4F1
iran	U+1F1EE U+1F1F7
iraq	U+1F1EE U+1F1F6
ireland	U+1F1EE U+1F1EA
isle_of_man	U+1F1EE U+1F1F2
israel	U+1F1EE U+1F1F1
it	U+1F1EE U+1F1F9
izakaya_lantern	U+1F3EE
jack_o_lantern	U+1F383
jamaica	U+1F1EF U+1F1F2
japan	U+1F5FE
japanese_castle	U+1F3EF
japanese_goblin	U+1F47A
japanese_ogre	U+1F479
jeans	U+1F456
jersey	U+1F1EF U+1F1EA
jigsaw	U+1F9E9
jordan	U+1F1EF U+1F1F4
joy	U+1F602
joy_cat	U+1F639
joystick	U+1F579
jp	U+1F1EF U+1F1F5
judge	U+1F9D1 U+2696
juggling_person	U+1F939
kaaba	U+1F54B
kangaroo	U+1F998
kazakhstan	U+1F1F0 U+1F1FF
kenya	U+1F1F0 U+1F1EA
key	U+1F511
keyboard	U+2328
keycap_ten	U+1F51F
kick_scooter	U+1F6F4
kimono	U+1F458
kiribati	U+1F1F0 U+1F1EE
kiss	U+1F48B
kissing	U+1F617
kissing_cat	U+1F63D
kissing_closed_eyes	U+1F61A
kissing_heart	U+1F618
kissing_smiling_eyes	U+1F619
kite	U+1FA81
kiwi_fruit	U+1F95D
kneeling_man	U+1F9CE U+2642
kneeling_person	U+1F9CE
kneeling_woman	U+1F9CE U+2640
knife	U+1F52A
knot	U+1FAA2
koala	U+1F428
koko	U+1F201
kosovo	U+1F1FD U+1F1F0
kr	U+1F1F0 U+1F1F7
kuwait	U+1F1F0 U+1F1FC
kyrgyzstan	U+1F1F0 U+1F1EC
lab_coat	U+1F97C
label	U+1F3F7
lacrosse	U+1F94D
ladder	U+1FA9C
lady_beetle	U+1F41E
lantern	U+1F3EE
laos	U+1F1F1 U+1F1E6
large_blue_circle	U+1F535
large_blue_diamond	U+1F537
large_orange_diamond	U+1F536
last_quarter_moon	U+1F317
last_quarter_moon_with_face	U+1F31C
latin_cross	U+271D
latvia	U+1F1F1 U+1F1FB
laughing	U+1F606
leafy_green	U+1F96C
leaves	U+1F343
lebanon	U+1F1F1 U+1F1E7
ledger	U+1F4D2
left_luggage	U+1F6C5
left_right_arrow	U+2194
left_speech_bubble	U+1F5E8
leftwards_arrow_with_hook	U+21A9
leg	U+1F9B5
lemon	U+1F34B
leo	U+264C
leopard	U+1F406
lesotho	U+1F1F1 U+1F1F8
level_slider	U+1F39A
liberia	U+1F1F1 U+1F1F7
libra	U+264E
libya	U+1F1F1 U+1F1FE
liechtenstein	U+1F1F1 U+1F1EE
light_rail	U+1F688
link	U+1F517
lion	U+1F981
lips	U+1F444
lipstick	U+1F484
lithuania	U+1F1F1 U+1F1F9
lizard	U+1F98E
llama	U+1F999
lobster	U+1F99E
lock	U+1F512
lock_with_ink_pen	U+1F50F
lollipop	U+1F36D
long_drum	U+1FA98
loop	U+27BF
lotion_bottle	U+1F9F4
lotus_position	U+1F9D8
lotus_position_man	U+1F9D8 U+2642
lotus_position_woman	U+1F9D8 U+2640
loud_sound	U+1F50A
loudspeaker	U+1F4E2
love_hotel	U+1F3E9
love_letter	U+1F48C
love_you_gesture	U+1F91F
low_brightness	U+1F505
luggage	U+1F9F3
lungs	U+1FAC1
luxembourg	U+1F1F1 U+1F1FA
lying_face	U+1F925
m	U+24C2
macau	U+1F1F2 U+1F1F4
macedonia	U+1F1F2 U+1F1F0
madagascar	U+1F1F2 U+1F1EC
mag	U+1F50D
mag_right	U+1F50E
mage	U+1F9D9
mage_man	U+1F9D9 U+2642
mage_woman	U+1F9D9 U+2640
magic_wand	U+1FA84
magnet	U+1F9F2
mahjong	U+1F004
mailbox	U+1F4EB
mailbox_closed	U+1F4EA
mailbox_with_mail	U+1F4EC
mailbox_with_no_mail	U+1F4ED
malawi	U+1F1F2 U+1F1FC
malaysia	U+1F1F2 U+1F1FE
maldives	U+1F1F2 U+1F1FB
male_detective	U+1F575 U+2642
male_sign	U+2642
mali	U+1F1F2 U+1F1F1
malta	U+1F1F2 U+1F1F9
mammoth	U+1F9A3
man	U+1F468
man_artist	U+1F468 U+1F3A8
man_astronaut	U+1F468 U+1F680
man_beard	U+1F9D4 U+2642
man_cartwheeling	U+1F938 U+2642
man_cook	U+1F468 U+1F373
man_dancing	U+1F57A
man_facepalming	U+1F926 U+2642
man_factory_worker	U+1F468 U+1F3ED
man_farmer	U+1F468 U+1F33E
man_feeding_baby	U+1F468 U+1F37C
man_firefighter	U+1F468 U+1F692
man_health_worker	U+1F468 U+2695
man_in_manual_wheelchair	U+1F468 U+1F9BD
